AveragePriceTarget,SmartScore,Ticker,Price,Market Capitalization,Sector,Industry,AveragePriceTarget_percent
45.14,6.0,PRCT,43.49,2196185070.677791,Health Technology,Medical Specialties,3.7939756265808198
17.27,7.0,PR,13.625,10546699937.629915,Energy Minerals,Integrated Oil,26.752293577981646
30.56,8.0,PPL,26.5997,19607287173.9349,Utilities,Electric Utilities,14.888513780230607
159.21,10.0,PPG,148.495,35015121453.27408,Process Industries,Industrial Specialties,7.215731169399646
28.0,5.0,PPC,26.79,6343602039.230769,Process Industries,Agricultural Commodities/Milling,4.516610675625237
25.75,5.0,PPBI,29.14,2794525228.972712,Finance,Regional Banks,-11.633493479752918
81.6,3.0,POWI,83.34,4738510734.897684,Electronic Technology,Semiconductors,-2.0878329733621417
103.43,6.0,POST,89.06,5390679199.115419,Consumer Non-Durables,Food: Specialty/Candy,16.135189759712556
46.13,10.0,POR,43.225,4371081028.092713,Utilities,Electric Utilities,6.720647773279355
372.33,8.0,POOL,393.91,15236111531.013372,Distribution Services,Wholesale Distributors,-5.478408773577731
218.87,8.0,PODD,219.15,15302721656.559805,Health Technology,Medical Specialties,-0.12776637006616523
76.0,4.0,PNW,71.215,8075662928.527045,Utilities,Electric Utilities,6.719090079337213
12.5,3.0,PNT,12.475,1329451257.1952686,Health Technology,Pharmaceuticals: Major,0.20040080160320928
74.73,5.0,PNR,71.2,11769285405.291063,Producer Manufacturing,Industrial Machinery,4.957865168539327
47.2,5.0,PNM,42.77,3671157532.3330207,Utilities,Electric Utilities,10.357727379003974
,,PNFPP,22.62,6562658259.0,Finance,Regional Banks,
87.13,6.0,PNFP,86.4007,6633344261.094774,Finance,Regional Banks,0.8440903835269795
147.81,5.0,PNC,152.76,60850592042.33326,Finance,Major Banks,-3.240377062058123
,,PMTU,25.01,1360863771.0,Finance,Real Estate Investment Trusts,
13.75,5.0,PMT/PC,18.96,1360863771.0,Finance,Real Estate Investment Trusts,-27.478902953586502
13.75,5.0,PMT/PB,22.9,1360863771.0,Finance,Real Estate Investment Trusts,-39.956331877729255
13.75,5.0,PMT/PA,23.25,1360863771.0,Finance,Real Estate Investment Trusts,-40.86021505376344
13.75,5.0,PMT,15.73,1360863771.0,Finance,Real Estate Investment Trusts,-12.58741258741259
107.35,8.0,PM,92.995,144365999362.01843,Consumer Non-Durables,Tobacco,15.436313780310758
24.8,8.0,PLYM,24.11,1098228986.0,Finance,Real Estate Investment Trusts,2.8618830360846177
13.67,2.0,PLYA,8.54,1182404959.8666663,Consumer Services,Hotels/Resorts/Cruise lines,60.07025761124124
111.5,5.0,PLXS,109.85,3021334867.5263205,Electronic Technology,Electronic Production Equipment,1.5020482476103831
9.28,1.0,PLUG,4.32,2615769929.142857,Electronic Technology,Electronic Production Equipment,114.81481481481478
13.4,8.0,PLTR,17.58,38253900033.3701,Technology Services,Packaged Software,-23.77701934015926
12.91,6.0,PLTK,8.51,3125106686.8888884,Technology Services,Packaged Software,51.70387779083432
45.58,6.0,PLRX,16.765,1004155721.2095212,Health Technology,Biotechnology,171.87593200119295
67.18,6.0,PLNT,72.665,6406982061.510605,Consumer Services,Other Consumer Services,-7.548338264639097
68.0,6.0,PLMR,58.14,1437877779.9763317,Finance,Property/Casualty Insurance,16.95906432748538
137.94,10.0,PLD,132.05,124058546407.0,Finance,Real Estate Investment Trusts,4.460431654676248
56.17,10.0,PLAY,52.68,2117163278.6785924,Consumer Services,Movies/Entertainment,6.624905087319671
162.83,5.0,PKG,163.435,14647747651.716211,Process Industries,Containers/Packaging,-0.3701777465047204
16.5,10.0,PK,16.7794,3496228839.0,Finance,Real Estate Investment Trusts,-1.6651370132424224
89.0,8.0,PJT,99.2,2404664961.689512,Finance,Investment Banks/Brokers,-10.282258064516132
181.5,6.0,PIPR,172.76,3059504843.2824697,Finance,Investment Banks/Brokers,5.05904144477889
38.17,7.0,PINS,37.41,25227752649.55648,Technology Services,Internet Software/Services,2.0315423683507223
24.67,4.0,PINC,22.715,2718359774.715773,Health Services,Hospital/Nursing Management,8.606647589698445
101.75,8.0,PII,94.56,5340058841.418044,Consumer Durables,Recreational Products,7.60363790186125
84.67,1.0,PI,88.43,2392549822.103325,Electronic Technology,Semiconductors,-4.251950695465346
,,PHYS,16.0299,6356700000.0,Miscellaneous,Investment Trusts/Mutual Funds,
29.2,8.0,PHVS,27.11,1107628470.5259256,Health Technology,Pharmaceuticals: Major,7.709332349686463
27.13,5.0,PHR,22.28,1239546453.5392954,Technology Services,Packaged Software,21.76840215439855
106.46,9.0,PHM,102.965,22198737795.83393,Consumer Durables,Homebuilding,3.3943573058806296
15.0,3.0,PHG,23.025,20802088495.138447,Health Technology,Medical Specialties,-34.85342019543974
475.33,9.0,PH,456.58,58659486744.90757,Producer Manufacturing,Industrial Machinery,4.106618774365939
3.25,4.0,PGY,1.5599,1112910594.616774,Technology Services,Packaged Software,108.34668889031347
39.75,7.0,PGTI,41.315,2356076634.0484223,Producer Manufacturing,Building Products,-3.7879704707733217
4.64,5.0,PGRE,5.34,1141105877.0,Finance,Real Estate Investment Trusts,-13.10861423220974
167.79,9.0,PGR,157.025,91866053386.54704,Finance,Multi-Line Insurance,6.855596242636514
46.0,10.0,PGNY,38.11,3652318509.027264,Commercial Services,Miscellaneous Commercial Services,20.703227499344006
163.31,10.0,PG,144.72,341088562285.7335,Consumer Non-Durables,Household/Personal Care,12.845494748479826
